$m_S$ [GeV],$m_{\phi}$ [GeV],$T_D$ [GeV],$m_{A'}$ [GeV],Total,Triggers,Quality filters,Orthogonality,One tight lepton,One AK4 jet,MET > 20,One cluster,$p^{miss}_T$ > 30 GeV & Reweighting,$p^{W}_T$ > 60 GeV,30 GeV < $m^{W}_T$ < 130 GeV,b-jet selection,"$\Delta\phi(W, SUEP)$ > 1.5","$\Delta\phi(MET, SUEP)$ > 1.5","$\Delta\phi(lepton, SUEP)$ > 1.5",>=1 AK4 jet in SUEP cluster,$p^{W}_{T}/p^{SUEP}_T$ < 3,"min($\Delta\phi(MET, Jet)$) > 1.5"
125.0,1.0,4.0,1.0,1.0,0.352108843537415,0.9998454404945903,0.9303215334673057,0.858264445644498,0.7529403223464498,0.9480602963391508,0.8524595721598807,0.933570797648381,0.9786452077379635,0.7165972898214883,0.9653791619256445,0.9957051749631214,0.9893388437683075,0.9884998359516157,0.9928223751182405,0.9975083051588453,0.8470548773208283
125.0,16.0,4.0,1.0,1.0,0.3540567375886524,0.9995593125275433,0.9327855711422846,0.8797318781420529,0.9685943147406467,0.9139982855125812,0.8428733000468953,0.9315322212445432,0.9067045557007805,0.7313647729186914,0.9499354195958161,0.9882078160201087,0.96192206261495,0.9627966611129084,0.9971607087781355,0.9968302691249262,0.666102728923303
125.0,2.0,4.0,1.0,1.0,0.35109774436090224,0.9998286791159842,0.9296607265250171,0.8624320339139251,0.8328213074025592,0.9421331194867684,0.8436212590650641,0.9333370267336378,0.9755695263961756,0.7199019427788186,0.9608652899131548,0.9957306013733181,0.9893372238795693,0.9851861111792023,0.9950431669579675,0.9974033439098619,0.8372585358178403
125.0,4.0,4.0,1.0,1.0,0.35165068493150686,0.9998636567265928,0.9283515798496124,0.8644451905321471,0.9198223128459073,0.9333122212545852,0.8171973081490698,0.9418800364088248,0.9615701788377397,0.7192660785818225,0.949020786423777,0.9935772509179664,0.9858934375852307,0.979803605715011,0.9976425632455381,0.9967540640096056,0.8240119081514511
125.0,8.0,4.0,1.0,1.0,0.35175396825396826,0.9997066853184721,0.9290872980048749,0.8708157217120925,0.9578219147511714,0.9227924044734391,0.8140445005523118,0.943540397785153,0.9415642375220805,0.7252593812853962,0.9375403390891353,0.9925021256182487,0.9779215972055102,0.9741885147782218,0.9983256738605926,0.9973215256627335,0.7411176874220615
125.0,16.0,8.0,1.0,1.0,0.35538,0.9993621850788829,0.9280498564000526,0.8736245954692557,0.962377292091128,0.9192147617100103,0.845298228166139,0.9204257757321823,0.9126629841940307,0.7321778124083437,0.9615431870172284,0.9887985137977846,0.9641905057768901,0.9622665237154596,0.9964074744969986,0.9961031168785305,0.7138020136808627
125.0,2.0,8.0,1.0,1.0,0.35125,0.9998743981578396,0.9300309856795913,0.8603619828013147,0.8342447473769591,0.9463053569188307,0.8537385655574706,0.9451516460328483,0.9733261213732728,0.7169859308153501,0.952656536701216,0.9950241143014432,0.9901020122961923,0.9846634922747141,0.9929470746779109,0.9968397753802583,0.8391757163670917
125.0,32.0,8.0,1.0,1.0,0.3581206896551724,0.9992778392951711,0.931417421468491,0.8789344368291737,0.9677789548022598,0.9140746146127885,0.8679439842996375,0.9141982171603208,0.8824509909766808,0.7389904911835585,0.9664368595206363,0.9828073548721664,0.9542935631265529,0.9526809032614942,0.996942198323094,0.9958944652849232,0.6996944734146197
125.0,4.0,8.0,1.0,1.0,0.3496013986013986,0.9997999719960795,0.9279555048716562,0.8628562804536243,0.8920816571300066,0.9387989468377123,0.8322045529134469,0.9494147795980424,0.9656278239098609,0.7214613874928664,0.9484630905202197,0.9954839050511384,0.9866254733298556,0.9799302159189306,0.9955074582302724,0.9965040425492622,0.8235935911113622
125.0,8.0,8.0,1.0,1.0,0.3519043478260869,0.9995305048308583,0.9277873918417799,0.8669029284020358,0.9449498985676523,0.9315616563120059,0.8213275603198437,0.9364310156541436,0.9458423923309911,0.7227204147837537,0.9488709335207717,0.992534217220892,0.9773398567754289,0.9735333980447057,0.9965012809981244,0.9966172457698279,0.7782065525842572
